processo;titulo;modalidade
25/24090-6;Otimização e aprimoramento de um sensor para caracterização do campo elétrico de bobinas de estimulação magnética transcraniana;BP.IC
25/18314-9;Análise estatística, simulação de dados e apoio à difusão científica;BP.TT
25/09647-4;Conectividade funcional durante a tomada de decisão em interações competitivas: um estudo de hyperscanning com o jogo do goleiro;BP.TT
25/14403-7;Efeitos da prática mental remota no congelamento da marcha em pessoas com doença de parkinson: um ensaio clínico controlado e randomizado;BP.DD
25/09861-6;Detecção de comunidades em modelos de redes aleatórias para modelagem de dados do cérebro.;BP.MS
25/07274-6;Recuperação da estrutura de uma sequência estocástica de pulsos tms dirigida por um modelo de árvore de contexto: uma abordagem tms/eeg;BP.PD
25/04247-8;Da revista científica para a rede social: tradução intersemiótica e difusão de pesquisas do neuromat;BP.JC
25/06042-4;Potenciais Evocados e Conectividade Efetiva: Explorando a Comunicação Cortical com TMS-EEG;BP.MS
25/01835-6;Uma década de pesquisa, inovação e difusão: a trajetória e a conexão entre iniciativas do cepid neuromat;BP.JC
25/03163-5;"""A MATEMÁTICA DO CÉREBRO"": Uso de storytelling em podcasts científicos";BP.JC
25/02587-6;Sensibilização social pela ilustração científica interdisciplinar e o cepid neuromat: difusão da imagem ambiental entre máquina, ser humano e a biodiversidade tropical.;BP.JC
25/00886-6;Cepid neuromat e a educação aberta: atualização dos módulos do curso de jornalismo científico na wikiversidade;BP.JC
25/00326-0;Estudo comunicação de dados em tempo real para o desenvolvimento de um painel interativo no sistema fechado robô-estimulador-amplificador EMG/EEG;BP.IC
25/02885-7;Monitoramento da atividade cortical durante a manutenção da postura bípede em condições de aumento da demanda motora e cognitiva: um estudo comparativo entre pessoas com doença de parkinson, idosos e jovens saudáveis;BP.DR
24/23512-1;Estudos em Magnetoencefalografia usando Estímulos Aferentes de Estimulação Magnética;BP.IC
24/14847-0;Modelo de circuito córtico-tálamo-basal para simular estimulação cerebral profunda em doença de Parkinson;BP.IC
24/15841-5;O jogo do goleiro como ferramenta de predição do declínio de automaticidade da marcha em idosos;BP.IC
24/15842-1;O jogo do goleiro como ferramenta de predição do declínio de automaticidade da marcha em pessoas com doença de parkinson;BP.IC
24/09360-4;Contribuições do cepid neuromat em neuromatemática na wikipédia: difusão científica sobre a doença de parkinson;BP.JC
24/16868-4;O jogo do goleiro como ferramenta de predição do declínio de automaticidade da marcha em adultos;BP.IC
24/05406-0;Comunicação computacional para o perfil acadêmico institucional do CEPID NeuroMat;BP.JC
24/09243-8;Potencialidades da difusão da ciência aberta: evidências no trabalho do neuromat;BP.JC
24/13824-6;Construção de um Sensor para Caracterização do Campo Elétrico de Bobinas de Estimulação Magnética Transcraniana;BP.IC
24/14104-7;Caracterização e validação de um sistema robótico neuronavegado para dois estimuladores de estimulação magnética transcraniana.;BP.IC
24/10460-3;Arquitetura e Desenvolvimento de Software;BP.TT
24/07674-1;Estimulação magnética transcraniana de pulso pareado: desenvolvimento de novos métodos de mapeamento do córtex motor e excitabilidade cortical;BP.DD
24/06218-2;Estudo de métodos para comparação de distribuição de funções associados ao Algoritmo Contexto;BP.DD
24/03703-7;Gerenciamento de Central de Equipamentos Multiusuários (CEPID NeuroMat);BP.TT
23/16764-1;"""A Matemática do Cérebro"": o som no podcast e a trilha sonora como recurso estético.";BP.JC
23/10921-8;Experimentos Documentais em Neuromatemática;BP.JC
23/01264-3;Sistemas com infinitos processos pontuais com interações de alcance variável no espaço e no tempo;BP.DD
22/14526-3;Um modelo de árvore de contexto pode prever a excitabilidade do córtex motor primário? Um estudo de estimulação magnética transcraniana robotizada navegada por eletromiografia e eletroencefalografia.;BP.PD
22/15500-8;Desenvolvimento e validação de um método de determinação do hotspot para estimulação magnética transcraniana baseada em tractografia através do posicionamento robótico;BP.IC
22/07386-0;Modelagem de redes neuronais como sistemas de processos pontuais interagentes com memória de alcance variado;BP.PD
22/02325-3;Experiência NeuroMat: memórias da prática científica;BP.JC
22/00582-9;Recuperando modelos de árvore de contexto produzidos por sequências estruturadas de pulsos de TMS aplicadas no córtex motor primário.;BP.PD
22/00355-2;Identificação de Comunidades no Twitter a partir de Redes de;BP.IC
22/00699-3;Assinaturas eletrofisiológicas associadas à identificação de regularidades estatísticas em uma sequência de eventos;BP.PD
22/00784-0;Impressões digitais eletroencefalográficas de seleção de modelos estatísticos pelo cérebro;BP.PD
21/11781-0;Impacto das redes sociais como influenciadoras na busca de terapia neurológica;BP.JC
21/08620-4;Transpondo o modelo de Galves-Löcherbach para a linguagem jornalística: um trabalho de tradução semiótica;BP.JC
21/06162-9;Informar contando histórias: um podcast para quem vive e convive com a Doença de Parkinson;BP.JC
21/01505-5;Arquitetura e desenvolvimento de software;BP.TT
21/01551-7;Integração, testes, empacotamento e distribuição de software;BP.TT
21/01879-2;Arquitetura e desenvolvimento de software;BP.TT
20/15946-0;Redes sociais e comunicação científica;BP.JC
20/12121-0;Redes hierárquicas modulares de neurônios Galves-Loecherbach.;BP.PD
20/12708-1;"Metaestabilidade de sistemas de neurônios disparando. (Na linha ""Representations of neuronal interaction statistics"" de projetos de pós-doutoramento do CEPID NeuroMat, já aprovados pela FAPESP)";BP.PD
20/06512-7;Curso de jornalismo científico neuromat: uma proposta de aprendizagem colaborativa;BP.JC
20/06197-4;Arquiteto de software e analista-programador;BP.TT
20/04807-0;Arquitetura e desenvolvimento de software;BP.TT
20/02675-9;Gerente de sistemas do Centro de Pesquisa, Inovação e Difusão em Neuromatemática - NeuroMat;BP.TT
19/27667-1;Arquitetura e desenvolvimento de software;BP.TT
20/03712-5;Vídeo documental como método de divulgação científica;BP.JC
20/03398-9;Estudo de Criatividade e Entendimento com Árvores de Contexto e o Modelo PROBE;BP.IC
19/22219-0;Representações de estatísticas de interações neuronais;BP.PD
19/14367-0;Study of graphs underlied in brain processes;BP.PD
19/14542-6;Podcasts de divulgação científica: pesquisa e produção do programa Matemática do Cérebro;BP.JC
19/03270-5;Design de aplicações web e mobile;BP.TT
19/09951-4;Jornalismo imersivo em 360 como método de divulgação dos processos científicos;BP.JC
18/25076-3;Inferência estatística em processos estocásticos para dados em altas dimensões com aplicação em neurociência;BP.PD
19/05168-3;Redes sociais como abordagem terapêutica para pessoas com lesão no plexo braquial;BP.JC
18/09150-9;Modelagem estocástica e/ou computacional do funcionamento do cérebro;BP.PD
18/07286-0;Potenciais para o jornalismo computacional na estruturação de narrativas de difusão científica baseadas em WikiData;BP.JC
18/08318-3;Memória de curto prazo implícita e incerteza na integração visuomotora.;BP.PD
18/08609-8;Mapeando a representação cortical da postura em pacientes com acidente vascular cerebral;BP.PD
18/09900-8;Análise e inferência de conexões cerebrais com teoria de informação e análise não linear;BP.PD
18/04451-0;Arquitetura e desenvolvimento de software;BP.TT
17/25926-4;Medidas de Gibbs para grafos aleatórios infinitos;BP.PD
18/00217-3;Novas mídias na construção de projetos museológicos;BP.JC
17/23077-0;Arquitetura e desenvolvimento de software;BP.TT
17/04748-0;Ferramentas de neuroinformática para modelagem declarativa multiescala via geração automática de implementações, com aplicações a modelagem de grande escala da retina de vertebrados;BP.PD
17/15567-7;Representações de estatísticas de interações neurais.;BP.PD
17/15587-8;Dinâmicas estocásticas de redes neurais;BP.PD
17/07688-9;Estudo computacional das interações hipocampo-córtico-talâmicas: simulando padrões de plasticidade sináptica e atividade oscilatória;BP.DR
17/05874-0;Modelos de redes neurais com neurônios estocásticos e diferentes topologias: construção e análise;BP.MS
17/04989-8;Neuromatemática na wikipédia: criação e melhoria de conteúdo em plataformas web 2.0;BP.JC
17/05969-0;Curso NeuroMat de jornalismo científico: prática e revisão de literatura;BP.JC
16/25810-3;Neuromatemática representada: a imagem na difusão científica;BP.JC
17/02497-0;Comunicação em cartilhas na área da saúde: prática e investigação metodológica;BP.JC
17/02035-7;Inferência de grafos de interação da atividade neural;BP.DR
16/24676-1;Árvores de contexto aplicadas à modelagem estatística de trens de disparo neuronais;BP.PD
16/22053-7;Processos estocásticos estruturados e análise de dados funcionais para a avaliação de aprendizagem motora em indivíduos normais e patológicos;BP.PD
16/24041-6;Arquitetura e desenvolvimento de software;BP.TT
16/17789-4;Estabilidade, seleção estatística de modelos e limite hidrodinâmico para sistemas de cadeias interagentes com memória de alcance variável;BP.PD
16/17791-9;Processos interagentes com memória de alcance variável em modelos neurobiológicos;BP.PD
16/22567-0;Design de aplicações web e mobile;BP.TT
16/17655-8;Modelização e estimação de redes neurais;BP.PD
16/12918-0;Cadeias estocásticas de memória ilimitada com aplicação na neurociência;BP.DR
16/16955-8;Matemática falada: audiodescrição de verbetes de probabilidade e estatistica na wikipédia;BP.JC
16/14452-9;Arquitetura e desenvolvimento de software;BP.TT
16/03988-5;Modelos estocásticos para redes neurais;BP.PD
16/03426-7;Projeto de wiki-difusão em neuromatemática;BP.JC
16/03855-5;Análise na seleção estatística de modelos no córtex visual e na retina: um estudo comparativo;BP.PD
16/00430-3;Simulações computacionais de redes balanceadas com neurônios Integra-Dispara estocásticos;BP.PD
15/25722-4;Arquitetura e desenvolvimento de software;BP.TT
15/10785-0;Plasticidade sináptica num modelo estocástico de redes de neurônios;BP.PD
15/11579-5;Processos interagentes com memória de alcance variável em modelos neurobiológicos;BP.PD
15/11578-9;Processos estocásticos a valores em grafos induzidos por sistemas de neurônios interagentes: um modelo para atividade cerebral funcional;BP.PD
15/11270-4;Arquitetura e desenvolvimento de software;BP.TT
14/23526-0;Simulação perfeita de redes probabilísticas;BP.DR
15/02756-0;Desenvolvimento de sistema web;BP.TT
14/18216-2;Famílias de esquemas de bancos de dados para experimentos de Neurociência;BP.MS
14/00947-0;Inferência estatística para modelos de atividade cerebral;BE.PQ
14/15599-8;Análise de exames de eletroencefalograma (EEG), dando suporte ao desenvolvimento de métodos de identificação e descrição de potenciais evocados em exames de EEG, e implementando métodos e algoritmos para EEG.;BP.TT
14/07254-0;Modelando banco de dados complexos: associação entre dados de imagens multi-dimensionais, variáveis clínicas e variáveis contendo informação genética;BP.PD
14/09890-1;Arquitetura e desenvolvimento de software;BP.TT
14/05389-6;Desenvolvimento de Sistema Web.;BP.TT
14/04801-0;Representando a atividade cerebral através de seleção estatística de modelos na classe de sistemas interagentes de cadeias com memória variável;BP.PD
13/22051-6;Arquitetura e desenvolvimento de software;BP.TT
