item;itemLabel;doi;isbn;arxiv;pmid;doi_score;readers_count;cited_by_tweeters_count;cited_by_accounts_count;cited_by_posts_count;cited_by_msm_count;cited_by_feeds_count;cited_by_fbwalls_count;cited_by_gplus_count;cited_by_videos_count;cited_by_rdts;arxiv_id;cited_by_wikipedia_count
http://www.wikidata.org/entity/Q98799518;Modeling networks of spiking neurons as interacting processes with memory of variable length;;;1502.06446;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0
http://www.wikidata.org/entity/Q98799519;Hovering stochastic oscillations in self-organized critical systems;10.1038/S41598-019-40473-1;;1803.05537;30846773;3.00;34;0;1;1;0;0;0;0;0;0;0;1
http://www.wikidata.org/entity/Q98799521;Interaction graph estimation for the first olfactory relay of an insect;10.48550/ARXIV.1612.05226;;1612.05226v1;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0
http://www.wikidata.org/entity/Q98799522;Estimation of neuronal interaction graph from spike train data;;;1612.05226v2;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0
http://www.wikidata.org/entity/Q98799524;Oscillations and irregular persistent firing patterns in a homogeneous network of excitatory stochastic neurons with gap junctions in the mean-field limit;;;1707.06038;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0
http://www.wikidata.org/entity/Q98799525;Sparse space-time models: Concentration Inequalities and Lasso;;;1807.07615;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0
http://www.wikidata.org/entity/Q98799526;Concentration and Poincaré type inequalities for a degenerate pure jump Markov process;10.48550/ARXIV.1904.07090;;1904.07090;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0
http://www.wikidata.org/entity/Q98799528;Self-organized critical balanced networks: a unified framework;10.1103/PHYSREVRESEARCH.2.012042;;1906.05624;0;2.00;26;5;5;5;0;0;0;0;0;0;1906.05624;0
http://www.wikidata.org/entity/Q98799530;Infinite systems of interacting chains with memory of variable length beyond the Dobrushin condition;10.48550/ARXIV.1907.09012;;1907.09012;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0
http://www.wikidata.org/entity/Q98799531;The Effect of Graph Connectivity on Metastability on a Stochastic System of Spiking Neurons;10.1016/J.SPA.2020.09.013;;1910.00055;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0
http://www.wikidata.org/entity/Q98799532;Retrieving the structure of probabilistic sequences of auditory stimuli from EEG data;10.1038/S41598-021-83119-X;;2001.11502;33568773;18.50;24;1;3;5;2;0;0;0;0;0;0;0
